facts_url,text
https://www.factcheck.org/2020/07/face-mask-exempt-card-isnt-legitimate/,A “face mask exempt card” shared on social media invokes the Americans with Disabilities Act and claims to excuse people from wearing face masks.
https://www.factcheck.org/2020/07/video-presents-flawed-test-on-masks-oxygen-levels/,A test on video with a gas detector shows that face masks result in dangerous oxygen levels for the wearer.
https://www.factcheck.org/2020/06/painting-of-children-in-masks-isnt-a-1994-airport-mural/,A painting depicting children in face masks was created as a mural for the Denver airport in 1994 proving the COVID-19 pandemic was planned.
https://healthfeedback.org/claimreview/contrary-to-popular-claim-on-social-media-rna-vaccines-do-not-alter-our-dna/,According to Bill Gates the COVID-19 RNA vaccine will permanently alter our DNA. RNA vaccines can also cause autoimmunity.
https://www.factcheck.org/2020/06/meme-misrepresents-florida-surgeon-generals-position-on-face-masks/,Meme shows Florida Surgeon General saying: Everyone should STOP wearing masks as they have now been found to be harmful to your health.
https://www.politifact.com/factchecks/2020/jun/23/viral-image/no-aoc-didnt-tweet-about-closing-businesses-until-/,Alexandria Ocasio-Cortez tweeted “It’s vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.”
https://www.politifact.com/factchecks/2020/jun/24/donald-trump/donald-trump-wrong-greater-testing-driving-coronav/,COVID-19 cases are “up only because of our big number testing” in the United States.
https://www.politifact.com/factchecks/2020/jun/29/viral-image/no-wearing-mask-doesnt-void-concealed-carry-permit/,If you are licensed to carry a concealed weapon wearing a face covering for coronavirus “removes your conceal carry ability.”
https://www.factcheck.org/2020/06/fake-aoc-tweet-politicizes-covid-19-business-restrictions/,Claim that Rep. Alexandria Ocasio-Cortez tweeted that U.S. governors should extend COVID-19 restrictions on businesses “until after the November Elections.”
https://www.politifact.com/factchecks/2020/jun/26/facebook-posts/facebook-post-wrong-about-wearing-mask-carrying-co/,In North Carolina “you can be charged with a class H felony for wearing a mask and concealed carrying.”
https://www.politifact.com/factchecks/2020/jun/26/instagram-posts/face-mask-exempt-card-doesnt-exempt-you-wearing-ma/,A “face mask exempt card” allows you to cite the ADA and not wear a mask.
